期次,开奖号码,,,,
180808039,4,7,5,5,9
180808040,8,6,4,7,9
180808041,6,8,0,4,5
180808042,9,7,2,8,7
180808043,6,8,7,3,9
180808044,7,9,3,0,0
180808045,1,4,9,2,8
180808046,0,2,3,4,8
180808047,9,2,5,8,0
180808048,2,9,3,0,0
180808049,8,9,3,8,4
180808050,3,9,5,4,0
180808051,4,6,3,9,9
180808052,7,7,7,2,2
180808053,4,0,9,6,9
180808054,4,8,0,0,5
180808055,8,5,0,7,8
180808056,2,3,3,9,6
180808057,1,8,4,5,5
180808058,5,0,0,5,8
180808059,9,2,8,8,7
180808060,0,9,1,6,1
180808061,5,8,2,8,3
180808062,4,1,3,6,7
180808063,2,9,3,0,1
180808064,8,8,0,3,8
180808065,4,1,7,7,5
180808066,5,8,1,9,9
180808067,7,6,0,3,6
180808068,1,1,7,0,9
180808069,8,3,4,7,6
180808070,4,5,1,1,4
180808071,3,2,9,9,8
180808072,0,4,1,0,2
180808073,6,1,0,8,1
180808074,2,4,6,8,4
180808075,7,3,4,2,7
180808076,2,1,2,6,0
180808077,7,5,1,4,0
180808078,6,5,1,2,8
180808079,7,7,0,3,4
180808080,3,6,0,0,5
180808081,0,2,5,2,4
180808082,0,4,8,6,4
180808083,1,3,3,7,6
180808084,8,5,6,0,6
180808085,3,7,7,2,1
180808086,4,1,4,7,5
180808087,9,5,3,6,4
180808088,9,0,7,3,8
180808089,1,3,8,6,7
180808090,1,8,1,8,0
180808091,0,8,5,0,7
180808092,6,0,7,3,4
180808093,0,8,2,7,1
180808094,5,9,6,1,2
180808095,3,0,6,0,2
180808096,8,6,6,8,5
180808097,2,5,6,2,6
180808098,4,4,7,1,5
180808099,2,0,1,2,2
180808100,4,8,0,7,2
180808101,5,5,6,1,7
180808102,8,0,2,5,6
180808103,6,8,1,2,8
180808104,0,4,6,6,8
180808105,8,3,0,3,1
180808106,6,8,4,9,3
180808107,7,5,9,2,6
180808108,4,8,2,1,3
180808109,8,6,2,4,0
180808110,3,2,9,8,1
180808111,7,2,4,5,6
180808112,1,9,2,9,1
180808113,4,1,1,2,7
180808114,0,9,7,9,5
180808115,8,9,0,5,7
180808116,6,6,3,1,1
180808117,9,5,0,9,6
180808118,0,8,9,1,1
180808119,5,3,7,3,5
180808120,2,3,0,9,5
180809001,4,7,1,2,4
180809002,7,2,1,7,0
180809003,6,4,0,0,9
180809004,0,7,6,5,0
180809005,2,0,3,3,8
180809006,2,2,6,5,9
180809007,6,8,5,2,7
180809008,7,6,8,2,7
180809009,2,3,3,8,2
180809010,8,7,4,8,7
180809011,8,6,5,1,7
180809012,1,6,6,4,5
180809013,4,2,2,0,7
180809014,3,1,4,7,0
180809015,8,7,1,5,1
180809016,8,3,8,2,4
180809017,8,8,0,6,5
180809018,8,3,6,0,4
180809019,9,2,2,3,6
180809020,6,7,2,4,7
180809021,2,7,0,8,5
180809022,4,5,1,3,3
180809023,7,8,9,1,6
180809024,9,5,8,9,2
180809025,1,1,4,4,9
180809026,2,2,9,5,4
180809027,1,9,2,1,8
180809028,2,1,3,5,3
180809029,1,8,3,1,9
180809030,8,4,7,1,2
180809031,4,4,6,6,8
180809032,7,4,7,0,1
180809033,3,3,9,7,2
180809034,1,2,3,8,1
180809035,5,9,2,4,1
180809036,2,1,9,7,0
180809037,3,6,1,8,1
180809038,8,6,9,0,4
180809039,5,3,5,4,5
180809040,4,6,1,1,9
180809041,5,4,9,3,6
180809042,0,5,1,3,4
180809043,3,5,1,1,5
180809044,7,2,5,2,2
180809045,7,8,0,2,5
180809046,1,0,0,4,2
180809047,1,7,9,2,4
180809048,4,5,2,2,5
180809049,4,1,8,3,2
180809050,3,6,8,6,6
180809051,1,0,4,2,6
180809052,3,7,4,9,1
180809053,3,0,2,4,7
180809054,8,2,5,6,4
180809055,6,1,2,8,1
180809056,8,1,9,2,5
180809057,5,3,6,2,2
180809058,7,7,8,1,0
180809059,0,8,7,1,6
180809060,6,1,5,7,1
180809061,3,8,1,5,6
180809062,5,6,2,4,3
